(0, 4)
(1, 4, 0)
(2, 4, 0)
(3, 4, 4)
(4, 4, 0)
(5, 4, 0)
(6, 4, 2)
(7, 4, 0)
(8, 4, 0)
(9, 4, 3)
(10, 4, 0)
(11, 6, 1)
(12, 6, 0)
(13, 6, 0)
(14, 6, 0)
(15, 6, 0)
(16, 6, 4)
(17, 6, 0)
(18, 6, 2)
(19, 6, 0)
(20, 6, 0)
(21, 6, 0)
(22, 0, 0)
(23, 0, 0)
(24, 0, 0)
(25, 0, 4)
(26, 0, 0)
(27, 0, 0)
(28, 0, 5)
(29, 0, 0)
(30, 0, 0)
(31, 0)
(32, 0, 1)
(33, 2, 0)
(34, 2, 5)
(35, 2, 0)
(36, 2, 0)
(37, 2, 4)
(38, 2, 0)
(39, 2, 0)
(40, 2, 1)
(41, 2, 0)
(42, 2)
(43, 2, 3)
(44, 8, 0)
(45, 8, 4)
(46, 8, 0)
(47, 8, 0)
(48, 8, 0)
(49, 8, 5)
(50, 8, 0)
(51, 8, 0)
(52, 8, 3)
(53, 8)
(54, 8, 0)
