( 0 , 6 )
( 1 , 6 )
( 2 , 6 )
( 3 , 6 )
( 4 , 6 )
( 5 , 6 )
( 6 , 6 )
( 7 , 6 )
( 8 , 6 )
( 9 , 6 )
( 10 , 6 )
( 11 , 6 )
( 12 , 6 )
( 13 , 6 )
( 14 , 6 )
( 15 , 6 )
( 16 , 6 )
( 17 , 6 )
( 18 , 3)
( 19 , 3)
( 20 , 3)
( 21 , 3)
( 22 , 3)
( 23 , 3)
( 24 , 3)
( 25 , 3)
( 26 , 3)
( 27 , 3)
( 28 , 3)
( 29 , 3)
( 30 , 6 )
( 31 , 6 )
( 32 , 6 )
( 33 , 6 )
( 34 , 6 )
( 35 , 6 )
( 36 , 6 )
( 37 , 6 )
( 38 , 6 )
( 39 , 6 )
( 40 , 6 )
( 41 , 4 )
( 42 , 4 )
( 43 , 4 )
( 44 , 4 )
( 45 , 4 )
( 46 , 4 )
( 47 , 4 )
( 48 , 4 )
( 49 , 4 )
( 50 , 4 )
( 51 , 4 )
( 52 , 4 )
( 53 , 4 )
( 54 , 5 )
( 55 , 5 )
( 56 , 5 )
( 57 , 5 )
( 58 , 5 )
( 59 , 5 )
( 60 , 5 )
( 61 , 5 )
( 62 , 5 )
( 63 , 5 )
( 64 , 5 )
( 65 , 5 )
